feature,importance_mean,importance_std
mfcc_2_mean,0.0647056145213687,0.015134109407973004
mfcc_4_std,0.03403373506932886,0.014334641073124002
mfcc_8_mean,0.033297467355151045,0.01539353077388475
mfcc_2_std,0.03305357048565794,0.021462778044216185
mfcc_11_std,0.03300149365571238,0.020410676916780484
mfcc_7_mean,0.027692117565567644,0.014212305701553903
duration,0.027595647195807812,0.014314818331476596
delta_mfcc_6_std,0.026496999792289543,0.014843913401816507
mfcc_5_mean,0.02640637511835743,0.013902796451917493
delta_mfcc_5_std,0.02422729963705753,0.015255239906041052
mfcc_5_std,0.023966721560685585,0.007380289691156828
mfcc_3_mean,0.022415695162579758,0.012489885347666846
chroma_5_mean,0.021066672712067264,0.007403226465848111
zcr_std,0.020222628661564376,0.01219561279985246
delta_mfcc_10_std,0.01981081498203791,0.013837946701916022
delta_mfcc_7_std,0.019514636495818194,0.01494883338101174
spectral_rolloff_mean,0.019195469679125547,0.008910165987596329
chroma_3_mean,0.018992084857921292,0.007887008742116897
chroma_9_mean,0.01879315356992822,0.007327871702773758
mfcc_9_mean,0.018732304668681685,0.011045131944268904
mfcc_10_std,0.018724565222483676,0.010683878655978567
mfcc_11_mean,0.01850676475061539,0.014655604242626139
mfcc_4_mean,0.017212098514236846,0.011006995553180535
chroma_1_std,0.015338556538640847,0.012104908945262576
chroma_8_mean,0.01529759328484667,0.007781390192375239
pitch_std,0.014265428278268162,0.008322569154390839
delta_mfcc_4_std,0.013714563840699542,0.008743410683795553
mfcc_1_std,0.013023522578503128,0.014285774287223831
delta_mfcc_9_std,0.012791328373470271,0.012218195620224801
mfcc_6_std,0.01159436828999024,0.006376804995271355
mfcc_10_mean,0.011402276384834783,0.009421010234966325
mfcc_12_std,0.011016063470769695,0.009286815990542222
delta_mfcc_3_std,0.010813235296795506,0.007850476317423362
delta_mfcc_11_std,0.010749992155421117,0.011357926899702126
mfcc_13_std,0.010296325414226478,0.009610842190165801
delta_mfcc_10_mean,0.010294808891838958,0.0074501625498223974
pitch_mean,0.009657107518205832,0.012207746616722212
delta_mfcc_9_mean,0.009318264135478404,0.009011976201640431
mfcc_7_std,0.009210381905599219,0.01101785362086174
mfcc_13_mean,0.009065994952439916,0.01361352859971075
chroma_8_std,0.008155053479416089,0.011767250098721009
mfcc_1_mean,0.007807135794414336,0.00838688702030195
mfcc_8_std,0.00772254839138109,0.011243363167046976
zcr_mean,0.00757259548376877,0.00767860817791978
chroma_10_mean,0.007562428549597907,0.008813515598437696
delta_mfcc_1_std,0.007481001316724578,0.01095495558172258
tempo,0.007309383321666463,0.0072306032082375135
delta_mfcc_2_std,0.006023545895791483,0.013227806632408684
chroma_4_mean,0.00597784122214835,0.007302226282698474
rms_std,0.005662985999895868,0.01043532454883625
delta_mfcc_13_std,0.005575108836687207,0.006622793619027703
spectral_bandwidth_std,0.005274544791678489,0.01590480524772475
delta_mfcc_6_mean,0.005226203652837413,0.006293192143231748
mfcc_3_std,0.004899368368676304,0.010522042234925576
mfcc_6_mean,0.0040033823571175246,0.008347269216339857
chroma_11_std,0.003861025795978475,0.014106497314428798
delta_mfcc_13_mean,0.0038111919900397345,0.011959164892399626
chroma_4_std,0.0038022655579683503,0.009590687323327062
chroma_2_std,0.0034483046826892403,0.00919544739547013
delta_mfcc_2_mean,0.003326434733843279,0.0068136659054976526
spectral_bandwidth_mean,0.003304226844094016,0.006977401678247628
chroma_11_mean,0.003202223327935849,0.010902990436829423
spectral_centroid_mean,0.0029948720729267983,0.006817660715340355
chroma_12_mean,0.0027350796551213123,0.010721423503956188
chroma_9_std,0.0021274568125010827,0.00830404779634134
chroma_2_mean,0.0019417353902633438,0.009675965504978425
delta_mfcc_12_mean,0.001938375345566364,0.007537607478590156
spectral_rolloff_std,0.0005992452004282223,0.012116477549233763
rms_mean,0.0005522431581540459,0.008666385344354639
delta_mfcc_4_mean,0.0004922840905967767,0.008776230829010655
chroma_10_std,0.00042765371330822554,0.009203971357755195
delta_mfcc_1_mean,-0.00040053511527074666,0.005150547699380342
chroma_1_mean,-0.0007933509372267222,0.010252070894372531
chroma_7_mean,-0.0018086159308556098,0.006234045079972327
delta_mfcc_3_mean,-0.002390711797475231,0.007214466559834759
delta_mfcc_7_mean,-0.0023924570605456347,0.009519096251817004
chroma_5_std,-0.0026294158488483193,0.012085699764461373
delta_mfcc_8_mean,-0.0027702393018733673,0.007044432205182522
delta_mfcc_5_mean,-0.0030237500898694443,0.006935967211719123
delta_mfcc_11_mean,-0.0031175962639778286,0.008723840233049377
chroma_6_mean,-0.0037662032022878138,0.008242110520863525
mfcc_9_std,-0.0038377246758486416,0.009428047927560784
mfcc_12_mean,-0.004346264667389284,0.01057060306188188
delta_mfcc_12_std,-0.004676207782514918,0.006826116991796493
spectral_centroid_std,-0.0047723803208636895,0.008030783259003237
delta_mfcc_8_std,-0.004944748771676847,0.010670787048230976
chroma_12_std,-0.005848299915336197,0.0091851527364736
chroma_7_std,-0.006063512637341269,0.007514703202013678
chroma_3_std,-0.00767492394656765,0.010530530320476463
chroma_6_std,-0.011811395248232041,0.012029028802639426
